Area,green
City of London,5.59
Barking and Dagenham,39.20
Barnet,57.99
Bexley,42.92
Brent,39.94
Bromley,68.36
Camden,43.28
Croydon,55.53
Ealing,43.96
Enfield,52.95
Greenwich,43.22
Hackney,38.79
Hammersmith and Fulham,27.60
Haringey,43.55
Harrow,55.42
Havering,65.98
Hillingdon,54.60
Hounslow,47.31
Islington,34.88
Kensington and Chelsea,30.37
Kingston upon Thames,52.42
Lambeth,32.91
Lewisham,40.25
Merton,48.78
Newham,30.64
Redbridge,53.56
Richmond upon Thames,61.99
Southwark,37.67
Sutton,49.69
Tower Hamlets,25.38
Waltham Forest,44.36
Wandsworth,39.01
Westminster,31.20