Area,marriage
Camden,20.1
City of London,18.5
Hackney,18.8
Hammersmith and Fulham,21
Haringey,23.6
Islington,17.7
Kensington and Chelsea,22.1
Lambeth,18
Lewisham,22.6
Newham,26
Southwark,19.7
Tower Hamlets,22.4
Wandsworth,24.7
Westminster,20.9
Barking and Dagenham,29
Barnet,34.5
Bexley,34.9
Brent,27.8
Bromley,34.4
Croydon,30
Ealing,31.1
Enfield,32.1
Greenwich,26.6
Harrow,39.6
Havering,35.2
Hillingdon,35.7
Hounslow,32.4
Kingston upon Thames,35.7
Merton,33.4
Redbridge,36.8
Richmond upon Thames,35.7
Sutton,35.4
Waltham Forest,27.7